ID объекта СКУП;Адрес УИК/ТИК;Наименование УИК/ТИК;Технология подключения;Техническое решение;Наименование Оператора ПМ;Информация по организации канала до объекта;Принадлженость объекта к МЦТЭТ: АМЦТЭТ,ТГЦТЭТ, ВМЦТЭТ, НМЦТЭТ, КМЦТЭТ, УСТП-1,УСТП-2,УСТП-3,УСТП-4,УСТП-5,УСТП-6,УСТП-7;Информацию заносит сотрудник ТБ. Вид наряда на организацию канала: по существующему подключению ВОЛС/МЕДЬ. организация нового канала ВОЛС/МЕДЬ;Ком. блок. Наряд выписан № наряда;Необходимость оконечного оборудования (модемы:ADSL/SHDSL, коммутатор 8 портов);IP-adress/Port Оборудования на УД (DSLAM, комметатор агригации);Канал организован и протестирован скорость соответствует Да/Нет;Указать порт на оконечном устройстве. Его необходимо заклеить монтажной лентой с пометкой выборы.;Место расположение оконечного устройства;Примечание;IP addres коммутатора на объекте (при его наличии);Готовность объекта. ДА;Выделенная сеть;Учёт оборудования;RID объекта;Подрядчик;IP адрес CAM1 Комиссия;IP адрес CAM2 Урна;IP адрес коммутатора в шкафу УИК/ТИК;IP адрес контроллера;Канал прописан РЦУСС;Камера зарегистрирована;IP шлюза;Vlan на PE;Description;ФИО основного ответственного за УИК;E-mail основного ответственного за УИК;Контактный телефон (служебный/сотовый) основного ответственного за УИК;ФИО заместителя на время отсутствия основного ответственного за УИК;E-mail заместителя на время отсутствия основного ответственного за УИК;Контактный телефон (служебный/сотовый) заместителя на время отсутствия основного ответственного за УИК;Объект принят 2ЛТП и сдан в эксплуатацию;Контроллер сконфигурирован и подключен. ДА;Статус;Online Test;Протестировано;Cинхронизация;Акт П16 подписан, демонтаж произведён;;;;;
68078;Белая Калитва, улица Светлая, 6А;УИК №286;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);КМЦТЭТ;Организация по существующему каналу  ВОЛС;863930107722301.18;Роутер;коммутатор агригации:10.83.3.1 порт GE0/0/1Там есть действующее подключение FF 20572. Захаров сказал нужно настраивать транк-порт;да;порт 1 коммутатор доступа ;1 этаж. Фойе;Внимание! Есть существующее подключение. Необходима настройка ТРАНКОВЫХ портов;[10.83.3.43];07.02.18;10.234.0.144/28;Добавлено;B61K0286;АИСиС -Регион;10.234.0.146;10.234.0.147;10.234.0.158;10.234.0.148;Да.Канал дотянут до uplink. Уточнить порт на коммутаторе доступа.С 1-го есть маки услуг;Да;10.234.0.145;2009;286BelayaKalitvaSvetlaya6;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93 ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68108;поселок Шолоховский,Спортивная,10;УИК №311;Альтернативный оператор;Т-21;Энфорта;Канал на ресурсах АО;КМЦТЭТ;;;;;нет;;;;;13.02.18;10.234.0.160/28;;B61K0311;АИСиС -Регион;10.234.0.162;10.234.0.163;10.234.0.174;10.234.0.164;да. Энфорта, стык в Шахтах, vlan 2157;Да;10.234.0.161;2010;311posSholohovskiySportivnaya10;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93  	  ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Романов;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68201;Белая Калитва,Машиностроителей,4/1;УИК №270;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);КМЦТЭТ;Организация нового канала ВОЛС;863930107851275.18;;коммутатор агригации:10.83.8.1 порт 0/0/11;да;порт 24 коммутатор доступа;1 этаж. Конференц зал;;[10.83.8.25];06.02.18;10.234.0.176/28;Добавлено;B61K0270;АИСиС -Регион;10.234.0.178;10.234.0.179;10.234.0.190;10.234.0.180;да;Да;10.234.0.177;2011;270BelayaKalitvaMashinostroiteley4_1;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93 ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68203;Белая Калитва,Пролетарская,98;УИК №272;Организация канала по технологии ADSL ;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение) ;КМЦТЭТ;Организация  по существующему каналу Медь;863930107722373.18;модем ADSL;DSLAM:10.30.13.10, порт 05/00/11;да;порт ADSL модема 1;1 этаж. Столовая;Внимание! Есть существующее подключение. Необходима настройка ТРАНКОВЫХ портов;;09.02.18;10.234.0.192/28;4 очередь;B61K0272;АИСиС -Регион;10.234.0.194;10.234.0.195;10.234.0.206;10.234.0.196;06.02.18;Да;10.234.0.193;2012;272BelayaKalitvaProletarskaya98;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93 ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Романов 07.03.18 FAIL;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68204;Белая Калитва,Большая,2;УИК №273;Организация канала по технологии ADSL ;Т-6;ПАО "Ростелеком";Существующая Медь (модернизация не требуется);КМЦТЭТ;Организация  по существующему каналу Медь;863930107722421.18;модем ADSL;DSLAM:10.30.13.29, порт 0/0/61;да;порт ADSL модема 1;1.этаж Выставочный зал.;Внимание! Есть существующее подключение. Необходима настройка ТРАНКОВЫХ портов;;09.02.18;10.234.0.208/28;4 очередь;B61K0273;АИСиС -Регион;10.234.0.210;10.234.0.211;10.234.0.222;10.234.0.212;да, 04.02.2018;Да;10.234.0.209;2013;273BelayaKalitvaBolshaya2;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93 ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Романов 07.03.18 FAIL;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68205;Белая Калитва,Копаева,22;УИК №274;Организация канала по технологии ADSL ;Т-6;ПАО "Ростелеком";Существующая Медь (доумощнение) ;КМЦТЭТ;Организация нового канала Медь на номер 26750;863930107851407.18;модем ADSL;DSLAM:10.30.13.27, порт 00/04/13;да;порт ADSL модема 1;1 этаж. Фойе;Смена технологии;;09.02.18;10.234.0.224/28;4 очередь;B61K0274;АИСиС -Регион;10.234.0.226;10.234.0.227;10.234.0.238;10.234.0.228;да 31/01/2018;Да;10.234.0.225;2014;274BelayaKalitvaKopaeva22;Швагурцев Александр Александрович ;A.Shvagurtsev@south.rt.ru ;(989)-702-61-93 ;Казьмин Эдуард Владимирович ;Elena.Zvyagintseva@south.rt.ru ;(989)-702-33-28 ;;;danger;Online Test;Романов 07.03.18 FAIL;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68336;Константиновск,24 Гвардейской дивизии,9;УИК №915;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);ВМЦТЭТ;Организация по существующему каналу ВОЛС;863930107722442.18;не требуется;Коммутатор агрегации: 10.30.93.105, порт G0/0/19 Коммутатор доступа: 10.93.5.9, порт Eth0/0/7;Да;Коммутатор 10.93.5.9, порт 7;1 этаж, щитовая;;10.93.5.9;15.02.18;10.234.0.240/28;Добавлено;B61K0915;ДОНСВЯЗЬ;10.234.0.242;10.234.0.243;10.234.0.254;10.234.0.244;да;да;10.234.0.241;2015;915Konstantinovsk24Gvardeyskoydivizii9;Супрунов Сергей Валерьевич;Sergey.Suprunov@south.rt.ru;89889472332;Гейт Виталий Викторович;Vitaliy.Geyt@south.rt.ru;89585751513;;ДА;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68337;Константиновск,Донская,4А;УИК №916;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);ВМЦТЭТ;Организация по существующему каналу ВОЛС;863930107722507.18;не требуется;Коммутатор агрегации: 10.30.93.108, порт G0/0/7;Да;Nateks-IAD-4-GW, LAN4;1 этаж, коридор;Планируется замена коммутатора агрегации, новые данные будут внесены по завершении работ;;17.02.18;10.234.1.0/28;Добавлено;B61K0916;ДОНСВЯЗЬ;10.234.1.2;10.234.1.3;10.234.1.14;10.234.1.4;да;да;10.234.1.1;2016;916KonstantinovskDonskaya4A;Супрунов Сергей Валерьевич;Sergey.Suprunov@south.rt.ru;89889472332;Гейт Виталий Викторович;Vitaliy.Geyt@south.rt.ru;89585751513;;ДА;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;Да;;;;;
68338;Константиновск,Рылеева,59;УИК №917;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);ВМЦТЭТ;Организация по существующему каналу ВОЛС;863930107722589.18;не требуется ;Коммутатор агрегации: 10.30.93.15, порт e1/0/1 Коммутатор доступа: 10.30.93.200, порт Eth0/0/24 ;Да;Коммутатор 10.30.93.200, порт Eth 0/0/24;2 этаж, к.209;;10.30.93.200;17.02.18;10.234.1.16/28;Добавлено;B61K0917;ДОНСВЯЗЬ;10.234.1.18;10.234.1.19;10.234.1.30;10.234.1.20;да;да;10.234.1.17;2017;917KonstantinovskRyleeva59;Супрунов Сергей Валерьевич;Sergey.Suprunov@south.rt.ru  ;89889472332;Гейт Виталий Викторович  ;Vitaliy.Geyt@south.rt.ru  ;89585751513;;ДА;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68339;Константиновск,Революционная,100;УИК №918;Организация канала по технологии SHDSL;Т-8;ПАО "Ростелеком";Существующая Медь (доумощнение);ВМЦТЭТ;Организация нового канала по SHDSL;863930108196223.18, 863930108196267.18;Не требуется (SHDSL-модемы есть в наличии);Агрегирующий коммутатор 10.30.93.15, порт e1/0/23;Да;Модем Orion2, порт LAN1;В шкафу УИК;;;12.02.18;10.234.1.32/28;;B61K0918;ДОНСВЯЗЬ;10.234.1.34;10.234.1.35;10.234.1.46;10.234.1.36;12.02.18;да;10.234.1.33;2018;918KonstantinovskRevolyucionnaya100;Супрунов Сергей Валерьевич;Sergey.Suprunov@south.rt.ru ;89889472332;Гейт Виталий Викторович ;Vitaliy.Geyt@south.rt.ru ;89585751513;;ДА;danger;Online Test;Ларкин 05.03.18;Cинхронизация завершена. Оборудование можно демонтировать;Да;;;;;
68340;Константиновск,25 Октября,57;УИК №919;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);ВМЦТЭТ;Организация нового канала ВОЛС  ;863930108013893.18;Оборудование получено;Коммутатор агрегации: 10.30.93.108, порт G0/0/16  Коммутатор доступа 10.93.8.119, порт e1/0/1, vlan 919;Да;10.93.8.119, порт e1/0/1;1,5 этаж, кабинет информатики;;10.93.8.119;17.02.18;10.234.1.48/28;Добавлено;B61K0919;ДОНСВЯЗЬ;10.234.1.50;10.234.1.51;10.234.1.62;10.234.1.52;да;да;10.234.1.49;2019;919Konstantinovsk25Oktyabrya57;Супрунов Сергей Валерьевич;Sergey.Suprunov@south.rt.ru ;89889472332;Гейт Виталий Викторович ;Vitaliy.Geyt@south.rt.ru ;89585751513;;ДА;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68341;Константиновск,24 Гвардейской дивизии,9;УИК №920;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);ВМЦТЭТ;Организация по существующему каналу ВОЛС;863930107722653.18;не требуется ;Коммутатор агрегации: 10.30.93.105, порт G0/0/19 Коммутатор доступа: 10.93.5.9, порт Eth0/0/8 ;Да;Коммутатор 10.93.5.9, порт 8 ;1 этаж, щитовая ;;10.93.5.9;15.02.18;10.234.1.64/28;Добавлено;B61K0920;ДОНСВЯЗЬ;10.234.1.66;10.234.1.67;10.234.1.78;10.234.1.68;да;да;10.234.1.65;2020;920Konstantinovsk24Gvardeyskoydivizii9;Супрунов Сергей Валерьевич  ;Sergey.Suprunov@south.rt.ru ;89889472332;Гейт Виталий Викторович ;Vitaliy.Geyt@south.rt.ru ;89585751513;;ДА;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68342;Пролетарский район,Ростов-на-Дону,Советская,30/1;УИК №1942;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (модернизация не требуется);УСТП №5;Организация канала по существующей меди;863930107722679.18; требуется модем SHDSL ;DSLAM H5600 ip 10.109.171.1 shdsl 0/15/0 ;да;;кабинет русского языка, 1 этаж справа;нужен пилот , кабинет №6  сдано в кабельное по распределению . постороннее;;08.02.18;10.234.1.80/28;2 очередь;B61K1942;АИСиС -Регион;10.234.1.82;10.234.1.83;10.234.1.94;10.234.1.84;31.01.18;да;10.234.1.81;2021;1942RnDSovetskaya30_1;Аксенов К.В.;Aleksandr.Kiryachek@south.rt.ru;89888909518;Федчук А.;;89888910193;;да;danger;Online Test;Романов 07.03.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68343;Пролетарский район,Ростов-на-Дону,Листопадова,42/79;УИК №1943;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);УСТП №5;Организация нового канала ВОЛС;863930107851197.18.  863930107851525.18;нужна установка коммутатора;ip 10.3.110.1  GE0/0/7;да;10.234.1.110 Eth0/0/1;IAD-4-GV ip 10.254.2.11310.234.1.110 Eth0/0/1;1 этаж , 4 кабинет;;23.01.18  ;10.234.1.96/28;Добавлено;B61K1943;АИСиС -Регион;10.234.1.98;10.234.1.99;10.234.1.110;10.234.1.100;да;Да;10.234.1.97;2022;1943RnDListopadova42_79;Аксенов К.В.;Aleksandr.Kiryachek@south.rt.ru;89888909518;Федчук А;;89888910193;;;success;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68344;Пролетарский район,Ростов-на-Дону,Ченцова,95/27;УИК №1944;Организация канала по технологии ADSL;Т-6;ПАО "Ростелеком";Существующая Медь (модернизация не требуется);УСТП №5;Организация существующего канала медь;863930107723356.18;телефон техника 8-918-857-98-39;10.109.171.1   shdsl 0/15/5  ;да;;1 этаж, административное здание;1 этаж, административное здание;;13.02.18;10.234.1.112/28;5 очередь;B61K1944;АИСиС -Регион;10.234.1.114;10.234.1.115;10.234.1.126;10.234.1.116;13.02.18;да;10.234.1.113;2023;1944RnDChencova95_27;Аксенов К.В.;Aleksandr.Kiryachek@south.rt.ru;89888909518;Федчук А;;89888910193;;да;success;Online Test;Романов 07.03.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68345;Пролетарский район,Ростов-на-Дону,28-я линия,55/56А;УИК №1945;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);УСТП №5;;;;10.2.9.1 GE0/0/1;да;10.2.9.129 ETH1/0/1;;;;15.02.18;10.234.1.128/28;Добавлено;B61K1945;АИСиС -Регион;10.234.1.130;10.234.1.131;10.234.1.142;10.234.1.132;да;Да;10.234.1.129;2024;1945RnD28aliniya55_56A;Аксенов К.В.;Aleksandr.Kiryachek@south.rt.ru;89888909518;Федчук А;;89888910193;;;success;Online Test;Довгань  02.03.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68347;Пролетарский район,Ростов-на-Дону,площадь Свободы,1;УИК №1948;Организация канала по технологии FTTx;Т-3;ПАО "Ростелеком";Существующая ВОЛС (модернизация не требуется);УСТП №5;Организация по существующему каналу Медь ;863930107724153.18;требуется модем SHDSL ;10.2.15.1    1/0/1;да;10.2.15.2   Eth0/0/1;2 этаж,  кабинет информатики;;;да;10.234.1.144/28;Добавлено;B61K1948;АИСиС -Регион;10.234.1.146;10.234.1.147;10.234.1.158;10.234.1.148;да;Да;10.234.1.145;2025;1948RnDploschadSvobody1;Аксенов К.В.;Aleksandr.Kiryachek@south.rt.ru;89888909518;Федчук А;;89888910193;;;danger;Online Test;Василенков 07.03.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
68348;Пролетарский район,Ростов-на-Дону,Мясникова,12;УИК №1949;Организация канала по технологии FTTx;Т-1;ПАО "Ростелеком";Существующая ВОЛС (доумощнение);УСТП №5;Организация по существующему каналу Медь ;863930107724193.18;требуетсяустановка коммутатораL ;10.3.11.1     GE0/0/22;да;Eth1/0/1;установлен Натекс во 2 кабинете , 1 этаж, фойе;13.02.18 коммутатор доступен. Недоступны камеры. Неверно обжата  UTP. провод за шкафами 18,01Подрядчик 9061828784 произвёл монтаж. оборудование включено. Нет готовности ПМ. обещали натех заменить на коммутатор. ;10.3.11.130 Eth1/0/1;14.02.18;10.234.1.160/28;Добавлено;B61K1949;АИСиС -Регион;10.234.1.162;10.234.1.163;10.234.1.174;10.234.1.164;13.02.18;Да;10.234.1.161;2026;1949RnDMyasnikova12;Аксенов К.В.;Aleksandr.Kiryachek@south.rt.ru;89888909518;Федчук А;;89888910193;;;danger;Online Test;Романов 28.02.18;Cинхронизация завершена. Оборудование можно демонтировать;;;;;;
