Название муниципалитета;Наименование общеобразовательной организации;Адрес общеобразовательной организации;Скорость передачи данных по договору;Учетное имя в АСР Onyma;PE маршрутизатор;Интерфейс;IP WAN (/30);IP LAN (/27);Оборудование ПМ;Порт ПМ;Примечание;;;;;
Столбец №1;Столбец №2;Столбец №3;Столбец №6;Столбец №8;Столбец №9;Столбец №10;Столбец №11;Столбец №12;Столбец №13;Столбец №14;Столбец №15;;;;;
Боковский район;МБОУ Краснозоринская СОШБоковского района;346245, Ростовская обл.,  Боковский р-н, пос. Краснозоринский, ул. Школьная, 10.   ;1024 Кбит/с;8631210676;80.254.100.4;lt-0/0/0.169;172.23.161.221;10.61.14.224;10.30.82.30;23;;;;;;
Боковский район;МБОУ Краснокутская СОШБоковского района;346256, Ростовская обл.,  Боковский р-н, ст. Краснокутская, ул. Школьная,16.;1024 Кбит/с;8631210675;80.254.100.4;lt-0/0/0.231;172.23.161.225;10.61.15.0;10.30.82.8;Eth0/0/4;;;;;;
Боковский район;МБОУ Большенаполовская ООШ имени А.А.Каледина                            Боковского района;346242, Ростовская обл.,  Боковский р-н х. Большенаполовский, улица Школьная, 69.    ;1024 Кбит/с;8631210673;80.254.100.4;lt-0/0/0.227;172.23.161.213;10.61.14.160;10.30.82.25;0/1/1;;;;;;
Боковский район;Верхнечирская ООШ филиал МБОУ Боковская СОШ имени Я.П.Теличенко          Боковского района;346243, Ростовская обл.,  Боковский р-н х. Верхнечирский, улица Мира, 109.;512 Кбит/с;8631210678;80.254.100.4;lt-0/0/0.273;172.23.161.217;10.61.14.192;;;Стык с РТКОММ;;;;;
Боковский район;МБОУ Поповская ООШБоковского района;346252, Ростовская обл.,  Боковский р-н, х. Попов, ул. Школьная, 26.  ;1024 Кбит/с;8631210674;80.254.100.4;lt-0/0/0.225;172.23.161.229;10.61.15.32;10.30.82.8;Eth0/0/1;;;;;;
Боковский район;Малаховская ООШ филиал МБОУ Боковская СОШ имениЯ.П.Теличенко        Боковского района;346257, Ростовская обл.,  Боковский р-н, х. Малаховский,  ул. Центральная, 24а.    ;512 Кбит/с;8631210682;80.254.100.4;lt-0/0/0.273;172.23.161.233;10.61.15.64;;;Стык с РТКОММ;;;;;
Боковский район;Пономаревская ООШ филиал МБОУ Боковская СОШ имениЯ.П.Теличенко        Боковского района;346250,Ростовская обл., Боковский район, село Пономаревка,                             ул. Школьная, 28;512 Кбит/с;;80.254.100.4;lt-0/0/0.229;172.23.161.241;10.61.15.128;10.30.82.8;Eth0/0/3;;;;;;
Боковский район;МБОУ Горбатовская ООШБоковского района;346254, Ростовская обл.,  Боковский р-н, х. Горбатов, ул. Низовая, 11-а.;512 Кбит/с;8631210679;;;172.23.161.237;10.61.15.96;;;В ониме нет маршрута;;;;;
Верхнедонской район;ГКОУ РО «Казанская специальная школа-интернат» (ГКОУ РО Казанская школа-интернат) ;346170, Ростовская область, Верхнедонской район, ст. Казанская, ул. Трудовая, 6 «а» ;2048 Кбит/с;8631330601;;;;;;;В ониме нет маршрута;;;;;
Верхнедонской район;МБОУ Верхнедонского района Верхнебыковская основная общеобразовательная школа;ул. Быковская, 213, х. Быковский,  Верхнедонской район  Ростовская область 346184  ;1024 Кбит/с;8631330634;20.0.0.64;;172.23.162.21;10.61.16.160;10.30.64.22;0;;;;;;
Верхнедонской район;МБОУ Верхнедонского  района Верхняковская СОШ;ул. Административная, 4, х. Верхняковский,  Верхнедонской район, Ростовская область 346173   ;512 Кбит/с;8631330629;20.0.0.64;Fa0/1.614;172.23.162.25;10.61.16.192;10.30.64.21;0/1/0;;;;;;
Верхнедонской район;МБОУ Верхнедонского района Красноармейская основная общеобразовательная школа;ул. Школьная, 3 х. Суходольный,  Верхнедонской район  Ростовская область 346172  ;1024 Кбит/с;8631330635;20.0.0.64;;172.23.162.29;10.61.16.224;10.30.64.41;0;;;;;;
Верхнедонской район;МБОУ Верхнедонского района Мешковская СОШ;пр. Победы, 11 ст. Мешковская,  Верхнедонской район  Ростовская область  346160   ;2048 Кбит/с;8631330633;20.0.0.64;;172.23.162.1;10.61.16.0;10.30.64.80;0/ 1/28;;;;;;
Верхнедонской район;МБОУ Верхнедонского района Мещеряковская СОШ;ул. Садовая, 27 х. Мещеряковский,  Верхнедонской район Ростовская область 346163   ;1024 Кбит/с;8631330626;20.0.0.64;;172.23.162.33;10.61.17.0;10.30.64.40;7;;;;;;
Верхнедонской район;МБОУВерхнедонского района Мигулинская СОШ;ул. Красноармейская, 57 ст. Мигулинская,  Верхнедонской район  Ростовская область 346167   ;1024 Кбит/с;8631330638;20.0.0.64;;172.23.162.5;10.61.16.32;10.30.64.44;5;;;;;;
Верхнедонской район;МБОУ Верхнедонского района Новониколаевская СОШ;ул. Советская, 14 х.Новониколаевский,  Верхнедонской район Ростовская область 346183   ;1024 Кбит/с;8631330636;;;;;;;В ониме нет маршрута;;;;;
Верхнедонской район;МБОУ Верхнедонского района Парижская основная общеобразовательная школа;ул. Парижская, 70     х. Парижский, 346183  Верхнедонской район Ростовская область 346183   ;512 Кбит/с;8631330639;20.0.0.64;;172.23.162.41;10.61.17.64;10.30.64.37;1;;;;;;
Верхнедонской район;МБОУ Верхнедонского района Песковатско- Лопатинская основная   общеобразовательная школа;ул. Песковатско-Лопатинская, 120 «а»  х. Песковатская Лопатина,                                  Верхнедонской район  Ростовская область 346186  ;512 Кбит/с;8631330630;20.0.0.64;;172.23.162.45;10.61.17.96;10.30.64.17;0;;;;;;
Верхнедонской район;МБОУ Верхнедонского района Поповская основная общеобразовательная школа;ул. Шолохова, 14  х. Поповка, 346180  Верхнедонской район Ростовская область 346180   ;512 Кбит/с;8631330632;20.0.0.64;;172.23.162.49;10.61.17.128;10.30.64.10;0;;;;;;
Верхнедонской район;МБОУ Верхнедонского района Средне-Лопатинская основная общеобразовательная школа;ул. Лопатинская, 157 х. Казанская Лопатина, 346181  Верхнедонской район Ростовская область 346181   ;1024 Кбит/с;8631330637;20.0.0.64;;172.23.162.57;10.61.17.192;10.30.64.25;1;;;;;;
Верхнедонской район;МБОУ Верхнедонского района Тубянская основная общеобразовательная школа;ул. Тубянская, 2, х. Тубянский, Верхнедонской район Ростовская область 346191    ;1024 Кбит/с;8631330625;20.0.0.64;;172.23.162.17;10.61.16.128;10.30.64.16;0/0/0;;;;;;
Верхнедонской район;МБОУ Верхнедонского района Шумилинская СОШ;ул. Почтовая, 2   ст. Шумилинская,  Верхнедонской район Ростовская область 346182                                                                                                                                                                                     ;512 Кбит/с;8631330627;20.0.0.64;;172.23.162.9;10.61.16.64;10.30.64.9;xdsl 1/1;;;;;;
Веселовский район;МБОУ Багаевская СОШ;347794, Ростовская область, Веселовский район, п.Чаканиха, пер.Школьный, 17;512 Кбит/с;8631220728;80.254.100.4;lt-0/0/0.1283;172.23.162.73;10.61.18.64;10.6.58.84;Ethernet0/0/6;;;;;;
Веселовский район;МБОУ Верхнесоленовская СОШ;347787, Ростовская область,Веселовский район,х.Нижнесоленый,ул.К.Мустафаева 1;512 Кбит/с;;80.254.100.4;lt-0/0/0.1287;172.23.162.69;10.61.18.32;10.30.58.45; xdsl 2/19;;;;;;
Веселовский район;МБОУ Веселовская СОШ №2;Ростовсая область, Веселовский район, п. Веселый, ул. Почтовая, 87;2048 Кбит/с;8631220735;80.254.100.4;lt-0/0/0.1259;172.23.162.65;10.61.18.0;10.30.58.12;1/0/1;;;;;;
Веселовский район;МБОУ КИРОВСКАЯ СОШ;347789 Ростовская область Веселовский район п.Средний Маныч ул.Просвещения 22 А;512 Кбит/сек;8631220729;80.254.100.4;lt-0/0/0.1263;172.23.162.85;10.61.18.160;10.30.58.44; xdsl 1/1;;;;;;
Веселовский район;МБОУ Красноманычская ООШ;347784 Ростовская область, Веселовский район, х. Красный Маныч, ул. Центральная128;512 Кбит/сек;8631220672;80.254.100.4;lt-0/0/0.1275;172.23.162.97;10.61.19.0;10.30.58.21;12;;;;;;
Веселовский район;МБОУ КРАСНОЗНАМЕНСКАЯ ООШ;347795, МБОУ КРАСНОЗНАМЕНСКАЯ ООШ, Ростовская область, Весёловский район, х.Красное Знамя, пер.Школьный, 8.;2048 Кбит/с;8631220732;20.0.0.58;Fa0/0.902;172.23.162.109;10.61.19.96;10.30.58.51;vl902;позвонить спдшнику;;;;;
Веселовский район;МБОУ Краснооктябрьская СОШ;347783, Ростовская область, Веселовский район, хутор Красный Октябрь, ул. Школьная, 59;512 Кбит/сек;8631220673;80.254.100.4;lt-0/0/0.1273;172.23.162.93;10.61.18.224;10.30.58.30; xdsl 3/1;;;;;;
Веселовский район;МБОУ Ленинская СОШ;347788 Ростовская область, Весёловский район х. Ленинский ул. Новая 3б;512 Кбит/сек;8631220675;80.254.100.4;lt-0/0/0.1285;172.23.162.89;10.61.18.192;10.30.58.48;xdsl 2/2;;;;;;
Веселовский район;МБОУ Малозападенская СОШ;347797, ул. 40 лет Победы 15/5, х. Малая Западенка, Веселовского района, Ростовской области ;512 Кбит/сек;8631220731;80.254.100.4;lt-0/0/0.1279;172.23.162.101;10.61.19.32;10.30.58.33;8;;;;;;
Веселовский район;МБОУ Маныч-Балабинская ООШ;347786, Ростовская область Веселовский район х.Маныч-Балабинка ул.Школьная 10;512 Кбит/сек;8631220674;80.254.100.4;lt-0/0/0.1281;172.23.162.117;10.61.19.160;10.30.58.25;vl906;Trying 10.30.58.25 ... % Destination unreachable gateway or host down ;;;;;
Веселовский район;МБОУ Новинская ООШ;347796, Ростовская обл., Весёловский район, п.Новый, ул.Школьная, 2;512 Кбит/сек;8631220730;80.254.100.4;lt-0/0/0.1277;172.23.162.81;10.61.18.128;10.30.58.13;Ethernet0/0/1;;;;;;
Веселовский район;МБОУ Позднеевская СОШ;347785, Ростовская область, Веселовский район, х.Позднеевка, ул.Центральная, 31;512 Кбит/сек;8631220733;20.0.0.58;;172.23.162.105;10.61.19.64;10.30.58.50;0/1/1;;;;;;
Веселовский район;МБОУ Садковская ООШ;347790, Ростовская обл., Веселовский район, п. Садковский, ул. Школьная, 22;2 Мбит/сек;;;;172.23.162.77;10.61.18.96;;;Телефония;;;;;
Волгодонской район;МБОУ Дубенцовская СОШ;347333, Россия, Ростовская область, Волгодонской район, станица Дубенцовская,     переулок Совхозный, дом 6                               ;2048 Кбит/с;8631511071;20.0.0.94;Fa0/1.47;172.23.162.201;10.61.22.64;10.30.94.101;vl47;;;;;;
Волгодонской район;МБОУ Краснодонская ООШ;347339, Ростовская область, Волгодонской район, посёлок Краснодонский, улица Школьная, 17;2048 Кбит/с;8631511066;20.0.0.94;Fa0/1.34;172.23.162.133;10.61.20.32;10.30.94.101;vl34;;;;;;
Волгодонской район;МБОУ Лагутнинская СОШ;хутор Лагутники, переулок Школьный, 24;2048 Кбит/с;8631511067;20.0.0.94;;172.23.162.137;10.61.20.64;10.30.94.43;0/ 1/ 8;;;;;;
Волгодонской район;МБОУ Донская ООШ;п. Донской, ул. Гайдара,7;2048 Кбит/с;8631511065;20.0.0.94;Fa0/1.58;172.23.162.129;10.61.20.0;10.30.94.101;vl58;;;;;;
Волгодонской район;МБОУ Октябрьская ООШ;347356 посёлок Виноградный, улица Ленина 1, Волгодонской район, Ростовская область;2048 Кбит/с;8631511070;20.0.0.94;Fa0/1.37;172.23.162.145;10.61.20.128;10.30.79.19;разобран;vl37;;;;;
Волгодонской район;МБОУ Прогрессовская ООШ;347338 Ростовская область Волгодонской район п.Прогресс ул.Ленина 11;2048 Кбит/с;8631511077;20.0.0.94;;172.23.162.153;10.61.20.192;;vl39;;;;;;
Волгодонской район;МБОУ Рябичевская СОШ;347353 Ростовская область, Волгодонской район, х.Рябичев, ул.Советская 19;2048 Кбит/с;8631511079;20.0.0.94;;172.23.162.161;10.61.21.0;10.30.94.41;0/ 1/43;;;;;;
Волгодонской район;МБОУ Мичуринская ООШ ;347334 Ростовская обл., Волгодонской р-он, п. Мичуринский, ул. Г.Кузнецовой 20;2048 Кбит/с;8631511078;20.0.0.94;;172.23.162.141;10.61.20.96;10.30.94.36;xdsl 1/4;;;;;;
Волгодонской район;МБОУ Мокро-Соленовская ООШ;Волгодонской район, х.Мокро-Соленый, ул.Центральная, 27;1024 Кбит/с;8631159587;80.254.100.4;lt-0/0/0.619;172.23.162.169;10.61.21.64;10.30.52.161;0/ 2/ 8;;;;;;
Волгодонской район;МБОУ Пирожковская ООШ ;Ростовская область, Волгодонской район, х. Пирожок, ул. Центральная 11а.;2048 Кбит/с;8631511076;20.0.0.94;;172.23.162.177;10.61.21.128;;vl43;;;;;;
Волгодонской район;МБОУ Побединская СОШ;347335 Ростовская область, Волгодонской район, поселок Победа, улица Кооперативная 7;2048 Кбит/с;8631511074;20.0.0.94;;172.23.162.197;10.61.22.32;10.30.94.53;0/ 0/40;;;;;;
Волгодонской район;МБОУ Потаповская СОШ;347352, Россия, Ростовская область, Волгодонской район, хутор Потапов, улица Комсомольская, дом 45. ;2048 Кбит/с;8631511063;20.0.0.94;;172.23.162.149;10.61.20.160;10.30.94.45;0/ 0/30;;;;;;
Волгодонской район;МБОУ Ясыревская НОШ;347337, Ростовская область, Волгодонской  район, х.Ясырев, ул. Победы, 24;1024 Кбит/с;8631511080;20.0.0.94;Fa0/1.45;172.23.162.189;10.61.21.224;10.30.79.39;разобран;vl45;;;;;
Волгодонской район;МБОУ Морозовская ООШ;347332 Ростовская область Волгодонской район х. Морозов ул. Школьна 24;2048 Кбит/с;8631511075;20.0.0.94;;172.23.162.173;10.61.21.96;;vl42;;;;;;
Волгодонской район;МБОУ Большовская ООШ;347331, Россия, Ростовская область, Волгодонской район, станица Большовская, улица Школьная 37 А;2048 Кбит/с;8631511068;20.0.0.94;Fa0/1.41;172.23.162.165;10.61.21.32;10.30.79.19;0/0/16;;;;;;
Волгодонской район;МБОУ Семенкинская ООШ;347355, Ростовская обл., Волгодонской р-н, х. Семенкин, ул. Центральная, 16;1024 Кбит/с;8631511064;20.0.0.94;;172.23.162.181;10.61.21.160;;vl22;;;;;;
Дубовский район;МБОУ Андреевская СШ № 3; 347413 ул. Центральная, 22, ст. Андреевская Дубовского района Ростовской области;2048 Кбит/с;8631270768;80.254.100.4;lt-0/0/0.2280;172.23.162.217;10.61.22.192;10.30.77.13;vl24;;;;;;
Дубовский район;МБОУ Барабанщиковская СШ № 4;347420, ул. Школьная, 7, х. Щеглов Дубовского района Ростовской области;2048 Кбит/с;8631270905;80.254.100.4;lt-0/0/0.1606;172.23.162.229;10.61.23.32;10.30.77.56;0/ 1/ 0;;;;;;
Дубовский район;МБОУ Вербовологовская СШ № 6 ;347422, ул. Школьная, 5, х. Вербовый Лог Дубовского района Ростовской области;512 Кбит/сек;8631270910;20.0.0.77;;172.23.162.233;10.61.23.64;10.30.77.30;0/0/0;;;;;;
Дубовский район;МБОУ Веселовская СШ № 2;347421, ул. Октябрьская,45, х. Веселый Дубовского района Ростовской области;512 Кбит/сек;;20.0.0.77;;172.23.162.233;10.61.23.64;10.30.77.30;0/0/1;;;;;;
Дубовский район;МБОУ Гуреевская СШ № 8;347401,  ул. Школьная,6 х. Гуреев, Ростовская обл., Дубовский р-он, ;512 Кбит/сек;8631270902;20.0.0.77;;172.23.162.241;10.61.23.128;10.30.77.17;xdsl 1/1;;;;;;
Дубовский район;МБОУ Дубовская НШ;347410, ул. Садовая 8, с. Дубовское Дубовского района Ростовской области;2048 Кбит/с;8631270773;20.0.0.77;;172.23.162.209;10.61.22.128;10.30.77.33;0/5/28;;;;;;
Дубовский район;МБОУ Дубовская В(С)Ш;347410, улица Маркина 34, село Дубовское, Дубовского района Ростовской области ;2048 Кбит/с;8631270771;20.0.0.77;;172.23.162.205;10.61.22.96;10.30.77.33;0/9/55;;;;;;
Дубовский район;МБОУ Жуковская СШ № 5;347423 ул. Центральная площадь,2ст.Жуковская, Дубовского района Ростовской области;512 Кбит/сек;8631270907;20.0.0.77;;172.23.162.221;10.61.22.224;10.30.77.19;1;;;;;;
Дубовский район;МБОУ Комиссаровская СШ № 9; 347414, ул. Школьная, 1, х. Сиротский Дубовского района Ростовской области ;1024 Кбит/с;8631270770;80.254.100.4;lt-0/0/0.2278;172.23.163.5;10.61.24.32;10.30.77.99;1/0/2;;;;;;
Дубовский район;МБОУ Мало-Лученская ОШ № 13;347425 ул. Приморская, 12, ст. Малая Лучка, Дубовского района Ростовской области;512 Кбит/сек;8631270903;20.0.0.77;Fa0/0.24;172.23.162.225;10.61.23.0;10.30.77.150;0/1/15;;;;;;
Дубовский район;МБОУ Мирненская СШ № 11;347412, ул. Центральная, 7, х.  Мирный, Дубовского района, Ростовской области;512 Кбит/сек;8631270904;20.0.0.77;;172.23.162.245;10.61.23.160;10.30.77.22;vl24;;;;;;
Дубовский район;МБОУ Присальская СШ №10;347415, ул.  Ул. Школьная 7, х. Присальский  Дубовского района Ростовской области ;512 Кбит/сек;8631270901;20.0.0.77;;172.23.162.249;10.61.23.192;10.30.77.21;vl24;;;;;;
Дубовский район;МБОУ Романовская  СШ № 12 ;347 417, ул. Молодёжная,24,  х. Романов, Дубовского района Ростовской области;512 Кбит/сек;8631270908;20.0.0.77;;172.23.162.253;10.61.23.224;10.30.77.15;vl24;Приостановлено;;;;;
Дубовский район;МБОУ Семичанская СШ № 7;347400, ул. Центральная, 4, х. Семичный, Дубовский район, Ростовская область;512 Кбит/сек;8631270906;80.254.100.4;lt-0/0/0.1610;172.23.163.1;10.61.24.0;10.30.77.14;vl24;;;;;;
Дубовский район;ГБОУ РО Семичанская школа-интернат;347400, Ростовская область, Дубовский район, х.Семичный, ул.Ленина,1;512 Кбит/сек;8631270909;80.254.100.4;lt-0/0/0.1608;172.23.176.245;10.61.135.160;10.30.77.16;xdsl 1/24;;;;;;
Егорлыкский район;МБОУ Новороговская  СОШ  №2;347681 Ростовская область, Егорлыкский район, ст. Новороговская, ул. Школьная, 50                                                                ;512 Кбит/сек;;20.0.0.70;;172.23.163.13;10.61.24.96;10.30.70.53;xdsl 1/1;;;;;;
Егорлыкский район;МБОУ Кавалерская СОШ №3 имени Героя Советского Союза  Андрея Петровича Дубинца ;347683 Ростовская область, Егорлыкский район, х. Кавалерский, ул. Кирова, 2 ;512 Кбит/сек;;20.0.0.70;;172.23.163.17;10.61.24.128;10.30.70.55;xdsl 1/1;;;;;;
Егорлыкский район;МБОУ Роговская СОШ №4 им.С.В. Пешеходько;347680 Ростовская область, Егорлыкский район, пос. Роговский, ул. Пешеходько, 27 ;512 Кбит/сек;;20.0.0.70;Fa0/0.903;172.23.163.21;10.61.24.160;10.30.70.88;Ethernet0/0/10;;;;;;
Егорлыкский район;МБОУ Куго-Ейская СОШ №5                                  ;347686 Ростовская область, Егорлыкский район,   х. Кугейский, ул. Октябрьская, 53                                                                   ;512 Кбит/сек;;20.0.0.70;Fa0/0.905;172.23.163.25;10.61.24.192;10.30.70.88;Ethernet0/0/6;;;;;;
Егорлыкский район;МБОУ Объединенная СОШ №6  имени  В.А. Сулева;347673 Ростовская область, Егорлыкский район, х. Объединенный, ул. Мира, 63 ;512 Кбит/сек;;20.0.0.70;;172.23.163.29;10.61.24.224;10.30.70.42;0;;;;;;
Егорлыкский район;МБОУ Луначарская СОШ №8;347684 Ростовская область, Егорлыкский район, х. Мирный,  ул. Школьная, 21                                                                   ;512 Кбит/сек;;20.0.0.70;Fa0/0.907;172.23.163.37;10.61.25.32;10.30.70.88;Ethernet0/0/7;;;;;;
Егорлыкский район;МБОУ Войновская СОШ №9 им. В.И.Сагайды;347676 Ростовская область,Егорлыкский район, х. Войнов,ул. Садовая, 34 ;4096 Кбит/сек;rs00345016;20.0.0.70;Fa0/0.901;172.23.163.41;10.61.25.64;10.30.70.88;Ethernet0/0/2;;;;;;
Егорлыкский район;МБОУ Шаумяновская СОШ № 10 ;347682 Ростовская область, Егорлыкский район, х. Шаумяновский, ул. Шаумяна, 27  ;4096 Кбит/сек;8631281302;20.0.0.70;Fa0/0.910;172.23.163.45;10.61.25.96;10.30.70.54;xdsl 1/2;;;;;;
Егорлыкский район;МБОУ Егорлыкская СОШ  №11;347660 Ростовская область, Егорлыкский район, ст. Егорлыкская,  ул. Ленина, 1 ;4096 Кбит/сек;;20.0.0.70;;172.23.163.49;10.61.25.128;10.30.70.12;1/0/38;;;;;;
Егорлыкский район;МБОУ Балко-Грузская СОШ №12;347685 Ростовская область, Егорлыкский район, х. Балко-Грузский, ул. Школьная, 8 ;512 Кбит/сек;;20.0.0.70;;172.23.163.53;10.61.25.160;10.30.70.52;xdsl 2/10;;;;;;
Егорлыкский район;МБОУ Балабановская  основная общеобразовательная школа №13;347675 Ростовская область, Егорлыкский район, х. Таганрогский,  ул. Специалистов, 23 ;512 Кбит/сек;;20.0.0.70;;172.23.163.57;10.61.25.192;10.30.70.56;xdsl 1/1;;;;;;
Егорлыкский район;МБОУ Ново-Украинская основная общеобразовательная школа №14;347677 Ростовская область, Егорлыкский район,  х. Ново-Украинский,  пер. Школьный,  6                                               ;512 Кбит/сек;8631281577;20.0.0.70;;172.23.163.61;10.61.25.224;10.30.70.88;vl919;;;;;;
Егорлыкский район;МБОУ Ильинская основная общеобразовательная школа №21 ;347687 Ростовская область, Егорлыкский район, х. Ильинский, ул. Парковая, 3 ;512 Кбит/сек;;20.0.0.70;;172.23.163.65;10.61.26.0;10.30.70.20;vl918;;;;;;
Егорлыкский район;МБОУ для детей дошкольного и младшего школьного возраста «Начальная школа – детский сад № 1»;347674 Ростовская область, Егорлыкский район, х. Изобильный, ул. Заречная, 1        ;512 Кбит/сек;;80.254.100.4;lt-0/0/0.2222;172.23.178.141;10.61.148.96;10.30.70.19;0/1/8;;;;;;
Егорлыкский район;МБОУ Егорлыкская начальная общеобразовательная школа №2;347674 Ростовская область, Егорлыкский район, х. Ютин, ул. Школьная, 17  ;512 Кбит/сек;8631281858;80.254.100.4;lt-0/0/0.2230;172.23.163.69;10.61.26.32;10.30.70.88;vl920;;;;;;
Егорлыкский район;МБОУ Егорлыкская начальная общеобразовательная школа №5;347674 Ростовская область, Егорлыкский район, х. Прогресс,  ул. Магистральная, 22 ;256 Кбит/с;8631282660;;;;;;;PPPoE подключение;;;;;
Егорлыкский район;МБОУ Роговская начальная общеобразовательная школа №11;347680 Ростовская область, Егорлыкский район,  х. Заря, ул. Фермерская, 6 ;512 Кбит/сек;8631281310;;;172.23.178.201;10.61.150.64;;;В ониме нет маршрута;;;;;
Заветинский район;МБОУ Заветинская СОШ№2;347430 пер.Горького 52,  с.Заветное, Заветинский район, Ростовской облатси;4096 Кбит/с;8631290770;80.254.100.4;lt-0/0/0.1594;172.23.163.81;10.61.26.128;10.30.78.14;0/ 0/35;;;;;;
Заветинский район;МБОУ Киселевская СОШ им. Н.В.Попова;347432 ул. Школьная с. Киселевка Заветинского района Ростовской области;1024 Кбит/с;8631290821;20.0.0.78;;172.23.163.85;10.61.26.160;10.30.78.7;xdsl 1/1;;;;;;
Заветинский район;МБОУ Никольская СОШ им. Н.И. Колесова;347433 Ростовская область, Заветинский район, х.Никольский, ул. Школьная, 20;2048 Кбит/с;8631290820;80.254.100.4;lt-0/0/0.1600;172.23.163.97;10.61.27.0;10.30.50.40;0/15/45;;;;;;
Заветинский район;МБОУ Савдянская СОШ им И.Т. Таранова;347442 Ростовская область Заветинский район. х. Савдя, пер. Школьный 1;512 Кбит/сек;8631290775;20.0.0.78;;172.23.163.101;10.61.27.32;10.30.78.170; xdsl 1/1;;;;;;
Заветинский район;МБОУ Комсомольская СОШ;347443 ул. Школьная 16А, п.Тюльпаны Заветинского района Ростовской области;2048 Кбит/с;8631290776;20.0.0.78;;172.23.163.105;10.61.27.64;10.30.78.161; xdsl 1/1;;;;;;
Заветинский район;МБОУ Кичкинская СОШ;345435 Ростовская область, Заветинский район, село Кичкино ул., Школьная 15а;512 Кбит/сек;8631290773;20.0.0.78;;172.23.163.89;10.61.26.192;10.30.78.15;нет;;;;;;
Заветинский район;МБОУ Фоминская СОШ;347 441 ул. Центральная д. 1, х. Фомин, Заветинский район, Ростовская область;512 Кбит/сек;8631290927;20.0.0.78;;172.23.163.109;10.61.27.96;10.30.78.160;xdsl 5/22;;;;;;
Заветинский район;МБОУ Федосеевская СОШ;347444, Ростовская область, Заветинский район, с. Федосеевка, ул. Гагарина, 2;1024 Кбит/с;8631290774;20.0.0.78;;172.23.163.93;10.61.26.224;10.30.78.171;xdsl 3/16 - xdsl 5/22;;;;;;
Заветинский район;МБОУ «Шебалинская СОШ им. В.И. Фомичёва»;347435 Ростовская область, Заветинский район,  х. Шебалин, ул. Гагарина,5;2048 Кбит/с;8631290771;80.254.100.4;lt-0/0/0.1598;172.23.163.117;10.61.27.160;10.30.78.16;0/0/0;;;;;;
Зерноградский район;МБОУ гимназия г.Зернограда;347740 Ростовская обл., Зерноградский р-н,г. Зерноград, ул. Советская, 42/11;4096 Кбит/с;8631303798;80.254.100.4;lt-0/0/0.3555;172.23.178.206;10.61.150.96;10.30.59.28;GE0/0/22;;;;;;
Зерноградский район;МБОУ лицей г.Зернограда;347740 Ростовская обл., г. Зерноград, ул. Советская, 21;4096 Кбит/с;;20.0.0.59;;172.23.178.213;10.61.150.160;10.30.59.10;0/ 6/35;;;;;;
Зерноградский район;МБОУ ООШ г.Зернограда;347740 Ростовская обл., Зерноградский р-н, г. Зерноград, ул. Калинина, 49 а/3;2048 Кбит/с;;20.0.0.59;;172.23.178.217;10.61.150.192;10.30.59.10;0/ 6/ 6;;;;;;
Зерноградский район;МБОУ СОШ (военвед) г.Зернограда;347743 Ростовская обл., г. Зерноград, ул. им. Еремина, 17;4096 Кбит/с;rs00428971;20.0.0.59;Fa0/0.824;172.23.163.121;10.61.27.192;10.30.59.21;Ethernet1/0/23;;;;;;
Зерноградский район;МБОУ Гуляй-Борисовская СОШ;347723 Ростовская обл., Зерноградский р-н, х. Гуляй-Борисовка пер.50 лет ВЛКСМ, 1;512 Кбит/с;8631304294;20.0.0.59;Fa0/0.811;172.23.163.137;10.61.28.64;10.30.59.23;GE0/0/23;;;;;;
Зерноградский район;МБОУ Мечетинская СОШ;347750 Ростовская обл., Зерноградский р-н, ст. Мечетинская, ул. Ленина, 68;4096 Кбит/с;8631304298;20.0.0.59;;172.23.163.149;10.61.28.160;10.30.59.9;1/0/35;;;;;;
Зерноградский район;МБОУ Красноармейская СОШ;347734 Ростовская обл., Зерноградский р-н, х. Путь Правды,  ул. Ленина, 51/3;512 Кбит/с;8631304293;20.0.0.59;Fa0/0.819;172.23.163.169;10.61.29.64;10.30.59.59;0/1/1;;;;;;
Зерноградский район;МБОУ Большеталовская СОШ;347737 Ростовская обл., Зерноградский р-н, х. Большая Таловая, ул. им.Ленина, д.6 а, д.6б;512 Кбит/с;8631304301;20.0.0.59;;172.23.163.157;10.61.28.224;10.30.59.84;xdsl 2/11;;;;;;
Зерноградский район;МБОУ Новоивановская СОШ;347726 Ростовская обл., Зерноградский район, с. Новоивановка, ул. Школьная, дом №24;512 Кбит/с;8631304295;20.0.0.59;;172.23.163.141;10.61.28.96;;vl812;;;;;;
Зерноградский район;МБОУ Конзаводская СОШ;347733 Ростовская обл., Зерноградский р-н, х. Чернышевка,  ул. Школьная, 34;512 Кбит/с;8631304296;20.0.0.59;;172.23.163.129;10.61.28.0;;vl820;;;;;;
Зерноградский район;МБОУ Светлоречная СОШ;347724 Ростовская обл., Зерноградский район, с. Светлоречное, ул. Пришкольная, дом №2;512 Кбит/с;8631304292;20.0.0.59;;172.23.163.145;10.61.28.128;;vl814;;;;;;
Зерноградский район;МБОУ Манычская СОШ;347739 Ростовская обл., Зерноградский р-н, п. Сорговый, ул. Школьная, 27;4096 Кбит/с;8631303800;20.0.0.59;Fa0/0.821;172.23.163.133;10.61.28.32;10.30.59.120;0/1/30;;;;;;
